formula,avg_1st_ionization_potential_(kJ/mol),avg_Allred-Rockow_electronegativity,avg_Atomic_Number,avg_Atomic_Radus,avg_Atomic_Weight,avg_Boiling_Point_(K),avg_Cohesive_energy,avg_Covalent_Radius,avg_Critical_Temperature,avg_Density_(g/mL),avg_Gordy_electonegativity,avg_Melting_point_(K),avg_Mendele_Number,avg_Molar_Denstiy_(mol/ml),avg_Molar_Heat_Capacity(J/mol_K),avg_Nagle_electonegativity,avg_Number_of_unfilled_d_valence_electrons,avg_Number_of_unfilled_f_valence_electrons,avg_Number_of_unfilled_p_valence_electrons,avg_Number_of_unfilled_s_valence_electrons,avg_Orbital_Radius(pm),avg_Pauling_Electronegativity,avg_Period,avg_Zunger_radii_sum,avg_abs_valence,avg_families,avg_gilmor_number_of_valence_electron,avg_group,avg_heat_atomization(kJ/mol),avg_heat_of_fusion_(kJ/mol)_,avg_heat_of_vaporization_(kJ/mol)_,avg_ionic_radius,avg_l_quantum_number,avg_metallic_valence,avg_number_of_valence_electrons,avg_outer_shell_electrons,avg_polarizability(A^3),avg_specific_heat_(J/g_K)_,avg_thermal_conductivity_(W/(m_K))_,avg_valence_d,avg_valence_f,avg_valence_p,avg_valence_s,sum_1st_ionization_potential_(kJ/mol),sum_Allred-Rockow_electronegativity,sum_Atomic_Number,sum_Atomic_Radus,sum_Atomic_Weight,sum_Boiling_Point_(K),sum_Cohesive_energy,sum_Covalent_Radius,sum_Critical_Temperature,sum_Density_(g/mL),sum_Gordy_electonegativity,sum_Melting_point_(K),sum_Mendele_Number,sum_Molar_Denstiy_(mol/ml),sum_Molar_Heat_Capacity(J/mol_K),sum_Nagle_electonegativity,sum_Number_of_unfilled_d_valence_electrons,sum_Number_of_unfilled_f_valence_electrons,sum_Number_of_unfilled_p_valence_electrons,sum_Number_of_unfilled_s_valence_electrons,sum_Orbital_Radius(pm),sum_Pauling_Electronegativity,sum_Period,sum_Zunger_radii_sum,sum_abs_valence,sum_families,sum_gilmor_number_of_valence_electron,sum_group,sum_heat_atomization(kJ/mol),sum_heat_of_fusion_(kJ/mol)_,sum_heat_of_vaporization_(kJ/mol)_,sum_ionic_radius,sum_l_quantum_number,sum_metallic_valence,sum_number_of_valence_electrons,sum_outer_shell_electrons,sum_polarizability(A^3),sum_specific_heat_(J/g_K)_,sum_thermal_conductivity_(W/(m_K))_,sum_valence_d,sum_valence_f,sum_valence_p,sum_valence_s,range_1st_ionization_potential_(kJ/mol),range_Allred-Rockow_electronegativity,range_Atomic_Number,range_Atomic_Radus,range_Atomic_Weight,range_Boiling_Point_(K),range_Cohesive_energy,range_Covalent_Radius,range_Critical_Temperature,range_Density_(g/mL),range_Gordy_electonegativity,range_Melting_point_(K),range_Mendele_Number,range_Molar_Denstiy_(mol/ml),range_Molar_Heat_Capacity(J/mol_K),range_Nagle_electonegativity,range_Number_of_unfilled_d_valence_electrons,range_Number_of_unfilled_f_valence_electrons,range_Number_of_unfilled_p_valence_electrons,range_Number_of_unfilled_s_valence_electrons,range_Orbital_Radius(pm),range_Pauling_Electronegativity,range_Period,range_Zunger_radii_sum,range_abs_valence,range_families,range_gilmor_number_of_valence_electron,range_group,range_heat_atomization(kJ/mol),range_heat_of_fusion_(kJ/mol)_,range_heat_of_vaporization_(kJ/mol)_,range_ionic_radius,range_l_quantum_number,range_metallic_valence,range_number_of_valence_electrons,range_outer_shell_electrons,range_polarizability(A^3),range_specific_heat_(J/g_K)_,range_thermal_conductivity_(W/(m_K))_,range_valence_d,range_valence_f,range_valence_p,range_valence_s,target
Cs2TeI6,852.1111111,1.96,53.33333333,1.565555556,128.3133333,654.4611111,1.161111111,1.536666667,1235.444444,4.395555556,5.542222222,405.0722222,75.11111111,0.034444444,28.03111111,1.92,2.222222222,14,2.222222222,0.222222222,137.9,2.182222222,5.222222222,2.203333333,4,6.222222222,5.555555556,13.33333333,110.7777778,7.621111111,34.72555556,1.666666667,0.777777778,0.444444444,5.555555556,5.111111111,17.18888889,0.215555556,8.538888889,7.777777778,0,3.777777778,1.777777778,7669,17.64,480,14.09,1154.82,5890.15,10.45,13.83,11119,39.56,49.88,3645.65,676,0.31,252.28,17.28,20,126,20,2,1241.1,19.64,47,19.83,36,56,50,120,997,68.59,312.53,15,7,4,50,46,154.7,1.94,76.85,70,0,34,16,632,1.7,3,1.83,6.01,805.8,1.39,0.92,1510,4.37,1.5,421.1,91,0.04,6.38,1.48,10,0,5,1,147.4,1.87,1,2.72,4,7,6,16,118,15.4,46.99,1.2,1,2,6,6,54.6,0.04,35.45,10,0,5,1,1.5
HgSe,974,2.095,57,1.37,139.775,794.15,1.565,1.325,1746,9.145,7.00345,362.2,80,0.06365,26.576005,1.925,5,7,4,0,102.2,2.275,5,1.85,2,5.5,3.5,14,144,4.4925,48.4645,1.325,1.5,3.22,9,4,4.6,0.2295,4.43,5,7,2,2,1948,4.19,114,2.74,279.55,1588.3,3.13,2.65,3492,18.29,14.0069,724.4,160,0.1273,53.15201,3.85,10,14,8,0,204.4,4.55,10,3.7,4,11,7,28,288,8.985,96.929,2.65,3,6.44,18,8,9.2,0.459,8.86,10,14,4,4,66,0.67,46,0.68,121.63,328,1.79,0.33,22,8.71,2.4869,255.9,18,0.0073,2.61201,0.77,10,14,4,0,20.8,0.55,2,1.12,4,3,5,4,166,4.395,21.529,0.35,1,2.44,6,4,1.6,0.181,7.82,10,14,4,0,0.241666667
GaAs0.7P0.3,772.75,1.991,29.3,1.226,65.7275,1732.6,2.9555,1.2055,4694.1,5.2285,4.6385,580.615,78.85,0.077,25.1295,1.8515,10,14,4,0,111.52,1.9965,3.85,1.533,2,5.65,4,14,295.95,12.589,143.3355,1.2025,1,3.22,4,4,6.095,0.416,37.836,0,0,2,2,1545.5,3.982,58.6,2.452,131.455,3465.2,5.911,2.411,9388.2,10.457,9.277,1161.23,157.7,0.154,50.259,3.703,20,28,8,0,223.04,3.993,7.7,3.066,4,11.3,8,28,591.9,25.178,286.671,2.405,2,6.44,8,8,12.19,0.832,75.672,0,0,4,4,433,0.49,18,0.38,43.95,2123,0.62,0.2,6626,4.08,1,787.2,10,0.02,1.95,0.66,0,0,2,0,33.5,0.38,1,0.46,2,2,2,2,29,27.04,246.57,0.3,0,0.44,2,2,4.5,0.44,49.76,0,0,2,0,1.8
NaSbTe2,767,1.7925,41.5,1.4225,99.9875,1476.3,2.06,1.405,3075.25,5.035,4.605,680.1,66.75,0.0475,26.2225,1.7475,2.5,14,3.25,0.25,128.2,1.795,4.5,1.94,3,4.75,4.5,12,191.25,14.3625,69.8,1.5125,0.75,2,4.5,1.75,10.3,0.46,42.5,7.5,0,2.75,1.75,3068,7.17,166,5.69,399.95,5905.2,8.24,5.62,12301,20.14,18.42,2720.4,267,0.19,104.89,6.99,10,56,13,1,512.8,7.18,18,7.76,12,19,18,48,765,57.45,279.2,6.05,3,8,18,7,41.2,1.84,170,30,0,11,7,373,1.29,41,0.67,104.61,1067,1.64,0.19,2741,5.72,2.9,533.2,88,0.01,2.76,1.13,10,0,4,1,60.2,1.17,2,0.98,3,5,5,15,153,17.27,44.41,0.4,1,2,5,1,18.1,1.03,138.65,10,0,4,1,0.47
KTbSe4,792,1.923333333,36.66666667,1.466666667,85.64422333,1394.816667,2.47,1.365,2953.5,4.708333333,5.178,655.8583333,64.66666667,0.051966667,26.50109353,1.86,10,12.5,3.333333333,0.166666667,126.8166667,2.036666667,4.333333333,2.123333333,4.333333333,5.333333333,4.666666667,11.33333333,231.1666667,6.648333333,93.595,1.425,1.166666667,2,4.666666667,4.5,14.01666667,0.368333333,19.26333333,0,1.5,2.666666667,1.833333333,4752,11.54,220,8.8,513.86534,8368.9,14.82,8.19,17721,28.25,31.068,3935.15,388,0.3118,159.0065612,11.16,60,75,20,1,760.9,12.22,26,12.74,26,32,28,68,1387,39.89,561.57,8.55,7,12,28,27,84.1,2.21,115.58,0,9,16,11,522,1.7,46,1.4,119.82534,2545,3.12,0.8,6713,7.37,2.97,1301.75,86,0.04,4.05,1.47,0,9,4,1,124.4,1.73,2,2.6,8,6,5,15,299,8.47,293.2,1.05,3,2,5,5,39.6,0.57,101.88,0,9,4,1,1.65
SrTaO2N,1068,2.518,26.8,1.142,62.91558,1522.59,3.996,1.102,2748.87,3.828,6.71076,896.81,62.4,0.02434,19.1265412,2.536,9.4,11.2,3.8,0,93.4,2.474,3.4,1.496,3.2,5.4,4.4,10.8,383.4,8.14,179.322,1.06,1,2,4.8,4.2,8.676,0.664,18.578,0.6,2.8,2.2,2,5340,12.59,134,5.71,314.5779,7612.95,19.98,5.51,13744.35,19.14,33.5538,4484.05,312,0.1217,95.632706,12.68,47,56,19,0,467,12.37,17,7.48,16,27,22,54,1917,40.7,896.61,5.3,5,10,24,21,43.38,3.32,92.89,3,14,11,10,853,2.65,66,1.71,166.9379,5620.8,6.38,1.19,10123.81,16.6,5.01,3214.4,79,0.0917,11.72,2.56,3,14,4,0,138.6,2.49,4,2.74,2,5,4,14,618,31.38,740.21,1.4,2,5,4,4,26.81,0.9,57.47,3,14,4,0,1.99
BaS,751.5,1.735,36,1.705,84.7,1315.5,2.375,1.5,2292,2.785,5.16,692.05,48.5,0.045,25.39,1.735,10,14,4,0,143.5,1.735,4.5,2.25,3,4.5,4,9,229.5,4.735,75.9,1.575,0.5,2,4,4,21.3,0.455,9.335,0,0,2,2,1503,3.47,72,3.41,169.4,2631,4.75,3,4584,5.57,10.32,1384.1,97,0.09,50.78,3.47,20,28,8,0,287,3.47,9,4.5,6,9,8,18,459,9.47,151.8,3.15,1,4,8,8,42.6,0.91,18.67,0,0,4,4,497,1.71,40,1.65,105.26,1195.3,0.95,0.96,1956,1.43,1.38,612.2,79,0.03,5.24,1.51,0,0,4,0,125,1.69,3,2.3,2,5,4,14,99,6.03,132.2,1.15,1,0,4,4,36.8,0.51,18.13,0,0,4,0,3.89
Tl2InGaSe4,759.875,2.08975,47.25,1.27,113.643325,1540.275,2.36625,1.2875,3254.5,7.02125,5.09545,480.7,82.125,0.06205,25.80370725,1.9375,6.25,10.5,3.5,0,111.825,2.12875,4.625,1.6725,2.5,6,4.5,14.5,225.125,5.48675,121.15,1.40625,1,2.72,4.5,4.375,6.025,0.2675,27.06,3.75,3.5,2.5,2,6079,16.718,378,10.16,909.1466,12322.2,18.93,10.3,26036,56.17,40.7636,3845.6,657,0.4964,206.429658,15.5,50,84,28,0,894.6,17.03,37,13.38,20,48,36,116,1801,43.894,969.2,11.25,8,21.76,36,35,48.2,2.14,216.48,30,28,20,16,383,0.77,50,0.53,134.6633,1718,0.93,0.32,5863,7.11,1.59,273.2,15,0.0218,1.299829,0.79,10,14,3,0,46.4,0.93,2,0.945,3,2,3,3,104,3.43,221,0.75,0,1.44,3,4,5.9,0.24,81.08,10,14,3,0,2.05
EuLu2Se4,765.5714286,1.855714286,48.71428571,1.538571429,116.8198571,1855.007143,2.937142857,1.384285714,2672.571429,6.297142857,5.772128571,989.7214286,66.14285714,0.055271429,25.84625714,1.791428571,9.714285714,9,3.714285714,0,122.9142857,1.991428571,4.857142857,2.262857143,3.571428571,5.285714286,4.714285714,10.42857143,277.1428571,10.45285714,143.7285714,1.421428571,1.571428571,2.285714286,4.714285714,4.285714286,12.38571429,0.251428571,6.968571429,0.285714286,5,2.285714286,2,5359,12.99,341,10.77,817.739,12985.05,20.56,9.69,18708,44.08,40.4049,6928.05,463,0.3869,180.9238,12.54,68,63,26,0,860.4,13.94,34,15.84,25,37,33,73,1940,73.17,1006.1,9.95,11,16,33,30,86.7,1.76,48.78,2,35,16,14,417,1.34,37,1.28,96.007,2717,2.57,0.69,2843,5.05,1.1823,1446,64,0.0255,2.0837,1.25,1,14,4,0,90.8,1.35,2,2.65,6,4,3,13,249,11.91,318.2,0.7,2,1,3,4,23.9,0.17,15.88,1,14,4,0,1.7
CuNiC4N4,1143.4,2.617,10.9,0.786,22.632,2655.33,5.709,0.867,3889.776,2.686,5.724,1789.59,76.1,0.105,14.238,2.566,8.2,14,4,0.1,68.94,2.617,2.4,0.894,2.8,6.4,4.1,13.7,552.8,45.196,210.506,0.81,1.2,3.922,5.7,3.9,2.51,0.782,100.782,1.8,0,2,1.9,11434,26.17,109,7.86,226.32,26553.3,57.09,8.67,38897.76,26.86,57.24,17895.9,761,1.05,142.38,25.66,82,140,40,1,689.4,26.17,24,8.94,28,64,41,137,5528,451.96,2105.06,8.1,12,39.22,57,39,25.1,7.82,1007.82,18,0,20,19,665,1.22,23,0.93,51.54,5022.8,3.88,0.63,6616.81,8.96,3.3,3576.9,21,0.19,17.3,1.65,10,0,3,1,67,1.14,2,1.64,8,3,3,5,379,104.64,367.61,0.7,1,2.78,7,4,5.7,0.66,400.97,10,0,3,1,2.7
CsH3Se2O6,1173.166667,2.84,14.5,0.7925,32.48833333,288.3416667,1.786666667,0.838333333,539.8733333,0.954166667,7.309166667,137.7083333,81.75,0.010833333,17.835,2.828333333,10,14,3.333333333,0.333333333,72.00833333,2.760833333,2.416666667,1.121666667,3,6.5,4.333333333,11,223.4166667,1.546666667,13.74583333,0.770833333,0.666666667,0.416666667,4.333333333,4.333333333,6.17,4.108333333,3.138333333,0,0,2.666666667,1.666666667,14078,34.08,174,9.51,389.86,3460.1,21.44,10.06,6478.48,11.45,87.71,1652.5,981,0.13,214.02,33.94,120,168,40,4,864.1,33.13,29,13.46,36,78,52,132,2681,18.56,164.95,9.25,8,5,52,52,74.04,49.3,37.66,0,0,32,20,938,2.95,54,2.5,131.9,937.9,2.62,1.88,1905,4.79,3.94,476.1,87,0.06,17.48,2.83,0,0,4,1,206.8,2.65,5,3.84,3,6,5,15,170,6.47,67.29,2.35,1,2,5,5,58.9,14.06,35.87,0,0,4,1,4.77
Cu2CdGeSe4,860.5,2.11625,34.25,1.235,78.495,1706.775,2.72875,1.2625,3653.75,6.38125,4.865,810.9375,79.125,0.08375,24.80875,1.94,6.25,14,3.75,0.25,104.1,2.2125,4.125,1.6275,2.25,5.75,4.125,14,259.125,11.99875,147.73375,1.2625,1.125,3.415,7.75,4,5.2375,0.32375,120.0975,3.75,0,2.25,1.75,6884,16.93,274,9.88,627.96,13654.2,21.83,10.1,29230,51.05,38.92,6487.5,633,0.67,198.47,15.52,50,112,30,2,832.8,17.7,33,13.02,18,46,33,112,2073,95.99,1181.87,10.1,9,27.32,62,32,41.9,2.59,960.78,30,0,18,14,196,0.91,19,0.58,48.86,2145,2.69,0.32,6643,4.17,2.1,866,25,0.08,2.61,0.86,10,0,4,1,27.3,0.86,1,0.93,4,3,5,5,265,30.75,293.2,0.4,2,3.44,8,5,3.4,0.15,400.48,10,0,4,1,1.2
HgCl2,1169.666667,2.5,38,1.096666667,90.49666667,369.0833333,1.156666667,1.156666667,856.3066667,4.5,7.308966667,192.85,86.33333333,0.022433333,20.64067,2.393333333,6.666666667,9.333333333,2.666666667,0,85.86666667,2.773333333,4,1.476666667,3.333333333,6.666666667,5,15.33333333,101,2.918333333,26.543,1.166666667,1.333333333,1.48,8.666666667,5.333333333,3.266666667,0.366333333,2.786666667,3.333333333,4.666666667,3.333333333,2,3509,7.5,114,3.29,271.49,1107.25,3.47,3.47,2568.92,13.5,21.9269,578.55,259,0.0673,61.92201,7.18,20,28,8,0,257.6,8.32,12,4.43,10,20,15,46,303,8.755,79.629,3.5,4,4.44,26,16,9.8,1.099,8.36,10,14,10,6,244,1.11,63,0.92,165.14,391.6,0.73,0.5,1318.04,13.5,1.4069,62.1,23,0.0673,10.86201,1.28,10,14,5,0,40.1,1.16,3,1.4,5,4,6,5,60,0.935,49.029,0.5,1,4.44,5,5,3.2,0.341,8.33,10,14,5,0,4.45
KAg11V4O16,1002.75,2.661875,23.625,1.096875,52.6696875,1388.275,3.016875,1.1084375,3459.25875,4.4,5.995625,732.8640625,71.6875,0.05,20.1103125,2.4934375,6.1875,14,4,0.375,90.975,2.6128125,3.34375,1.4721875,2.40625,5.40625,4.09375,12.4375,289.1875,6.6796875,146.9628125,1.0875,0.75,2.52625,7.4375,3.625,6.016875,0.6271875,154.52125,3.8125,0,2,1.625,32088,85.18,756,35.1,1685.43,44424.8,96.54,35.47,110696.28,140.8,191.86,23451.65,2294,1.6,643.53,79.79,198,448,128,12,2911.2,83.61,107,47.11,77,173,131,398,9254,213.75,4702.81,34.8,24,80.84,238,116,192.54,20.07,4944.68,122,0,64,52,895,2.88,39,1.95,91.87,3563,4.38,1.23,7325.42,10.5,5.58,2108.4,84,0.12,14.6,2.78,10,0,4,1,171.2,2.62,3,3.22,4,6,5,15,424,20.68,449.59,1.6,2,5.44,10,5,42.61,0.68,428.97,10,0,4,1,2
Na2BaSnS4,775.5,1.85,24,1.4125,53.7875,1205,2.3325,1.31875,2435.125,2.62875,4.6925,473.625,55.625,0.05125,25.325,1.8175,8.75,14,3.75,0.25,124.575,1.87875,3.625,1.8725,2.75,4.625,4,10.25,227,3.3575,83.865,1.4,0.625,2,4,3.75,13.275,0.71625,46.01,1.25,0,2.25,1.75,6204,14.8,192,11.3,430.3,9640,18.66,10.55,19481,21.03,37.54,3789,445,0.41,202.6,14.54,70,112,30,2,996.6,15.03,29,14.98,22,37,32,82,1816,26.86,670.92,11.2,5,16,32,30,106.2,5.73,368.08,10,0,18,14,504,1.72,45,1.65,114.34,1825.3,2.03,0.96,4495,6.34,3.31,627.2,86,0.03,5.51,1.54,10,0,4,1,125,1.69,3,2.3,3,6,5,15,193,6.03,286,1.15,1,3,5,5,36.8,1.03,140.73,10,0,4,1,3.27
In4Se3,722.1428571,1.99,42.57142857,1.332857143,99.45142857,1755.292857,2.494285714,1.32,4598.714286,6.23,4.885714286,455.6357143,81,0.06,25.92142857,1.858571429,4.285714286,14,3.714285714,0,118.3142857,2.11,4.571428571,1.724285714,2.285714286,5.857142857,4.285714286,14.28571429,236.1428571,4.73,148.4428571,1.378571429,1,2.822857143,4.285714286,3.714285714,7.171428571,0.268571429,46.85142857,5.714285714,0,2.285714286,2,5055,13.93,298,9.33,696.16,12287.05,17.46,9.24,32191,43.61,34.2,3189.45,567,0.42,181.45,13.01,30,98,26,0,828.2,14.77,32,12.07,16,41,30,100,1653,33.11,1039.1,9.65,7,19.76,30,26,50.2,1.88,327.96,40,0,16,14,383,0.77,15,0.53,35.86,1395,0.06,0.28,4973,2.52,1.53,60.4,14,0,1.14,0.79,10,0,3,0,46.4,0.77,1,0.76,3,2,3,3,16,3.43,193.8,0.4,0,1.44,3,4,5.9,0.09,81.08,10,0,3,0,0.645
TlCuCl3,1017.4,2.4498,32.2,1.076,74.85666,1057.19,1.914,1.166,1800.176,4.172,5.76836,489.75,84.4,0.03964,20.3559658,2.312,6,11.2,2.8,0.2,93.7,2.6,3.8,1.461,3.2,6.6,5.2,15,176.6,5.3764,99,1.25,1.2,1.776,7,5,4.18,0.39,89.426,4,2.8,3.2,1.8,5087,12.249,161,5.38,374.2833,5285.95,9.57,5.83,9000.88,20.86,28.8418,2448.75,422,0.1982,101.779829,11.56,30,56,14,1,468.5,13,19,7.305,16,33,26,75,883,26.882,495,6.25,6,8.88,35,25,20.9,1.95,447.13,20,14,16,9,662,1.081,64,0.77,168.9333,2601.6,2.09,0.49,5004.04,11.9,3.18,1184,30,0.14,9.549829,1.31,10,14,5,1,59.4,1.54,3,1.225,5,4,5,6,217,9.82,290.1,0.9,1,5.44,8,6,5.4,0.35,400.99,10,14,5,1,2.98
Pb0.83Sn0.17Te,791.905,2.00411,64.28,1.37735,159.87835,1683.1,2.20435,1.4049,3899.265,8.47235,5.077416,653.5325,85.415,0.052925,26.22919,1.9149,0,8.19,3,0,116.5125,1.99265,5.415,1.86215,3,5.5,5,15,205.51,11.334135,125.1635,1.57025,1,2.3526,5,2.83,6.2265,0.1735,21.4855,10,5.81,3,2,1583.81,4.00822,128.56,2.7547,319.7567,3366.2,4.4087,2.8098,7798.53,16.9447,10.154832,1307.065,170.83,0.10585,52.45838,3.8298,0,16.38,6,0,233.025,3.9853,10.83,3.7243,6,11,10,30,411.02,22.66827,250.327,3.1405,2,4.7052,10,5.66,12.453,0.347,42.971,20,11.62,6,4,160,0.34,32,0.31,88.49,1280.2,1.11,0.12,3480,5.16,0.85,217.5,10,0.01,1.43,0.38,0,14,2,0,12.9,0.23,1,0.42,2,1,2,2,106,12.691,243.25,0.4,0,2,2,2,2.2,0.1,64.25,0,14,2,0,0.15
Rb2TiCu2S4,772.7777778,1.873333333,24.22222222,1.497777778,52.68888889,1558.905556,2.77,1.38,3976,3.755555556,4.471111111,757.0388889,59,0.072222222,25.14666667,1.763333333,7.555555556,14,4.222222222,0.444444444,129.7,1.922222222,3.777777778,2.14,2.222222222,4.666666667,3.555555556,10.22222222,270.4444444,5.867777778,133.9155556,1.422222222,1.111111111,2.764444444,5.777777778,3.333333333,14.91111111,0.537777778,104.5977778,2.444444444,0,1.777777778,1.555555556,6955,16.86,218,13.48,474.2,14030.15,24.93,12.42,35784,33.8,40.24,6813.35,531,0.65,226.32,15.87,68,126,38,4,1167.3,17.3,34,19.26,20,42,32,92,2434,52.81,1205.24,12.8,10,24.88,52,30,134.2,4.84,941.38,22,0,16,14,597,1.88,21,1.77,53.4,2842.3,4,1.09,14186,7.43,2.71,1621.1,84,0.12,8.25,1.66,10,0,4,1,147.7,1.76,2,3,4,6,5,15,384,13.73,411.2,1.35,2,4.44,10,5,44.4,0.35,400.73,10,0,4,1,2.19
SnS2,903,2.333333333,27.33333333,1.07,60.95,1326.283333,2.946666667,1.15,2812.333333,3.816666667,5.43,425.6833333,85.33333333,0.06,24.16333333,2.226666667,6.666666667,14,2.666666667,0,95.33333333,2.373333333,3.666666667,1.36,3.333333333,6.333333333,5.333333333,15.33333333,286.6666667,3.49,105.1333333,1.15,1,2.666666667,5.333333333,4.666666667,4.5,0.55,22.38,3.333333333,0,3.333333333,2,2709,7,82,3.21,182.85,3978.85,8.84,3.45,8437,11.45,16.29,1277.05,256,0.18,72.49,6.68,20,42,8,0,286,7.12,11,4.08,10,19,16,46,860,10.47,315.4,3.45,3,8,16,14,13.5,1.65,67.14,10,0,10,6,291,0.77,34,0.57,86.64,1825.3,0.29,0.39,4495,5.24,1.26,119.2,8,0,4.18,0.79,10,0,2,0,43,0.62,2,0.78,2,2,2,2,23,5.31,286,0.45,0,2,2,4,4.8,0.48,66.33,10,0,2,0,2.43
InSnAsSe,788.75,2.03,41.5,1.295,96.8525,1686.15,2.77,1.3,4099,6.285,4.9375,628.8,82,0.065,25.8375,1.91,5,14,3.5,0,113.525,2.1175,4.5,1.66,2.5,5.75,4.5,14.5,268.5,11.17,149.94,1.325,1,3.11,4.5,3.75,6.375,0.2775,49.68,5,0,2.5,2,3155,8.12,166,5.18,387.41,6744.6,11.08,5.2,16396,25.14,19.75,2515.2,328,0.26,103.35,7.64,20,56,14,0,454.1,8.47,18,6.64,10,23,18,58,1074,44.68,599.76,5.3,4,12.44,18,15,25.5,1.11,198.72,20,0,10,8,389,0.77,17,0.53,43.79,1653,0.68,0.28,4973,2.52,1.53,660.4,14,0.02,2.23,0.79,10,0,3,0,46.4,0.77,1,0.76,3,2,3,3,75,24.44,261.04,0.4,0,2,3,4,5.9,0.1,81.08,10,0,3,0,0.26
Li6Rb5B11O22,973.9545455,2.522272727,9.863636364,0.986363636,21.36136364,1443.067045,3.081363636,0.9925,1575.630909,0.8325,6.136590909,712.7340909,62.09090909,0.068181818,17.05022727,2.5375,10,14,3.75,0.25,89.51590909,2.456818182,2.340909091,1.120454545,2.5,5.25,4,11.5,299.4772727,13.31795455,152.235,0.977272727,0.75,1,4,4,9.833636364,1.246818182,24.92863636,0,0,2.25,1.75,42854,110.98,434,43.4,939.9,63494.95,135.58,43.67,69327.76,36.63,270.01,31360.3,2732,3,750.21,111.65,440,616,165,11,3938.7,108.1,103,49.3,110,231,176,506,13177,585.99,6698.34,43,33,44,176,176,432.68,54.86,1096.86,0,0,99,77,911,2.9,34,2.17,78.53,4184.85,4.96,1.38,3129.42,2.34,5.18,2297.4,86,0.22,19.99,2.79,0,0,4,1,183.7,2.62,3,3.63,3,6,5,15,487,49.98,486.29,1.75,1,3,5,5,46.51,3.24,84.67,0,0,4,1,6.53
Ga0.99P0.99Zn0.01Se0.01,796.78,2.00505,23.09,1.17055,50.5633,1609.19,3.10785,1.16075,4289.615,3.881,4.5669,312.9135,78.505,0.07015,24.8306,1.88995,9.95,14,4,0,108.555,2.001,3.505,1.47115,2,5.995,3.995,14,299.285,3.1638,134.82585,1.151,1.005,3.22,4.05,4,5.8425,0.56785,20.7984,0.05,0,2,2,1593.56,4.0101,46.18,2.3411,101.1266,3218.38,6.2157,2.3215,8579.23,7.762,9.1338,625.827,157.01,0.1403,49.6612,3.7799,19.9,28,8,0,217.11,4.002,7.01,2.9423,4,11.99,7.99,28,598.57,6.3276,269.6517,2.302,2.01,6.44,8.1,8,11.685,1.1357,41.5968,0.1,0,4,4,433,0.84,19,0.44,47.99,2123,2.08,0.25,6626,5.31,2.01,389.8,20,0.05,1.95,0.85,10,0,4,0,33.6,0.9,1,0.64,4,3,5,4,184,6.66,246.57,0.35,1,2.44,9,4,4.5,0.45,115.76,10,0,4,0,2.24
CsZn4In5Se12,821.9090909,2.021818182,37.63636364,1.31,87.095,1314.65,2.196363636,1.300454545,3190.545455,5.655454545,4.986363636,504.6863636,78.36363636,0.066818182,25.87227273,1.906818182,5.909090909,14,3.590909091,0.045454545,112.2909091,2.131363636,4.318181818,1.707272727,2.454545455,5.727272727,4.181818182,13.90909091,206.4545455,5.815909091,97.22,1.343181818,1.136363636,2.725454545,6.181818182,4.136363636,8.15,0.308636364,41.55181818,4.090909091,0,2.409090909,1.954545455,18082,44.48,828,28.82,1916.09,28922.3,48.32,28.61,70192,124.42,109.7,11103.1,1724,1.47,569.19,41.95,130,308,79,1,2470.4,46.89,95,37.56,54,126,92,306,4542,127.95,2138.84,29.55,25,59.96,136,91,179.3,6.79,914.14,90,0,53,43,565,1.77,25,1.95,67.52,1411,1.72,1.09,4973,5.44,2.01,391.2,84,0.1,6.63,1.52,10,0,4,1,160,1.76,2,3.02,4,6,5,15,164,5.23,193.8,1.45,2,3.44,11,5,55.8,0.16,115.48,10,0,4,1,1.61
K2AuI5O15,1151.217391,3.014347826,21.82608696,0.85,49.98550174,393.8021739,2.196521739,0.99826087,741.726087,1.985652174,7.337352174,207.15,80.73913043,0.014695652,19.15007466,2.993913043,7.391304348,13.39130435,2.304347826,0.130434783,76.00434783,3.003478261,3,1.088695652,3.782608696,6.565217391,5.608695652,14.69565217,209.3913043,2.59173913,28.21913043,0.945652174,0.956521739,0.323478261,6,5.565217391,5.641304348,0.716434783,22.80434783,2.608695652,0.608695652,3.695652174,1.869565217,26478,69.33,502,19.55,1149.66654,9057.45,50.52,22.96,17059.7,45.67,168.7591,4764.45,1857,0.338,440.4517171,68.86,170,308,53,3,1748.1,69.08,69,25.04,87,151,129,338,4816,59.61,649.04,21.75,22,7.44,138,128,129.75,16.478,524.5,60,14,85,43,895,2.88,71,1.95,180.96654,3263,2.88,1.23,6045.42,19.3,5.58,1282.4,93,0.098,14.6,2.78,10,14,5,1,171.2,2.62,4,3.22,5,7,6,16,276,12.33,330.99,1.6,2,5.44,10,6,42.61,0.792,316.97,10,14,5,1,2.65
